Nitecore 650mA, Fused
Found INA260 chip
time (ms), rpm, mA, V
3027, 0, 0.00, 8.27,
3039, 0, 0.00, 8.27,
3050, 0, 0.00, 8.27,
3061, 0, 0.00, 8.27,
3072, 0, 0.00, 8.27,
3083, 0, 0.00, 8.27,
3094, 0, 1.25, 8.27,
3105, 0, 0.00, 8.27,
3116, 0, 0.00, 8.27,
3127, 0, 0.00, 8.27,
3138, 0, 0.00, 8.27,
3149, 0, 0.00, 8.27,
3160, 0, 0.00, 8.27,
3172, 0, 0.00, 8.27,
3183, 0, 0.00, 8.27,
3194, 0, 0.00, 8.27,
3205, 0, 0.00, 8.27,
3216, 0, 0.00, 8.27,
3227, 0, 0.00, 8.27,
3238, 0, 0.00, 8.27,
3249, 0, 0.00, 8.27,
3260, 0, 0.00, 8.27,
3271, 0, 0.00, 8.27,
3282, 0, 0.00, 8.27,
3293, 0, 0.00, 8.27,
3305, 0, 0.00, 8.27,
3316, 0, 0.00, 8.27,
3328, 0, 0.00, 8.27,
3339, 0, 0.00, 8.27,
3350, 0, 0.00, 8.27,
3361, 0, 0.00, 8.27,
3372, 0, 0.00, 8.27,
3383, 0, 0.00, 8.27,
3394, 0, 0.00, 8.27,
3405, 0, 0.00, 8.27,
3416, 0, 0.00, 8.27,
3427, 0, 3593.75, 7.29,
3438, 0, 3287.50, 7.28,
3449, 0, 3260.00, 7.28,
3460, 0, 3242.50, 7.31,
3471, 17, 3180.00, 7.39,
3482, 17, 3112.50, 7.36,
3493, 2294, 3103.75, 7.35,
3504, 2294, 2930.00, 7.40,
3516, 3105, 2975.00, 7.42,
3528, 3705, 2858.75, 7.44,
3540, 3705, 2836.25, 7.44,
3552, 4206, 2715.00, 7.48,
3564, 4642, 2660.00, 7.49,
3576, 5035, 2590.00, 7.50,
3587, 5359, 2626.25, 7.54,
3598, 5992, 2506.25, 7.55,
3609, 6268, 2450.00, 7.52,
3620, 6530, 2421.25, 7.57,
3631, 6772, 2315.00, 7.57,
3642, 7012, 2278.75, 7.58,
3654, 7444, 2208.75, 7.58,
3666, 7832, 2203.75, 7.59,
3677, 8000, 2196.25, 7.64,
3688, 8356, 2065.00, 7.61,
3699, 8522, 2018.75, 7.65,
3710, 8833, 2066.25, 7.66,
3721, 8992, 1968.75, 7.66,
3732, 9282, 1913.75, 7.66,
3744, 9554, 1921.25, 7.69,
3755, 9810, 1888.75, 7.69,
3766, 10040, 1783.75, 7.69,
3777, 10288, 1848.75, 7.70,
3788, 10504, 1775.00, 7.72,
3799, 10645, 1740.00, 7.72,
3810, 10814, 1741.25, 7.73,
3821, 11013, 1682.50, 7.73,
3832, 11295, 1663.75, 7.74,
3843, 11485, 1628.75, 7.77,
3854, 11645, 1615.00, 7.76,
3865, 11820, 1602.50, 7.76,
3876, 11961, 1561.25, 7.77,
3887, 12135, 1537.50, 7.77,
3898, 12366, 1540.00, 7.78,
3909, 12520, 1490.00, 7.79,
3920, 12658, 1486.25, 7.80,
3931, 12853, 1458.75, 7.78,
3942, 13009, 1445.00, 7.80,
3953, 13123, 1438.75, 7.80,
3964, 13274, 1400.00, 7.80,
3975, 13404, 1378.75, 7.82,
3986, 13611, 1371.25, 7.81,
3997, 13673, 1342.50, 7.82,
4008, 13863, 1333.75, 7.82,
4019, 13979, 1302.50, 7.83,
4030, 14137, 1317.50, 7.83,
4041, 14272, 1270.00, 7.84,
4052, 14381, 1263.75, 7.85,
4063, 14506, 1246.25, 7.85,
