time (ms), rpm, mA, V
5, 0, 0, 8.34,
17, 0, 0, 8.34,
28, 0, 0, 8.34,
39, 0, 0, 8.34,
50, 0, 0, 8.34,
61, 0, 0, 8.34,
72, 0, 0, 8.34,
83, 0, 0, 8.34,
94, 0, 0, 8.34,
105, 0, 0, 8.34,
116, 0, 0, 8.34,
128, 0, 0, 8.34,
139, 0, 0, 8.34,
151, 0, 0, 8.34,
162, 0, 0, 8.34,
173, 0, 0, 8.34,
184, 0, 0, 8.34,
195, 0, 0, 8.34,
206, 0, 0, 8.34,
217, 0, 0, 8.34,
228, 0, 0, 8.34,
239, 0, 0, 8.34,
250, 0, 0, 8.34,
261, 0, 0, 8.34,
273, 0, 0, 8.34,
284, 0, 0, 8.34,
295, 0, 0, 8.34,
306, 0, 0, 8.34,
317, 0, 0, 8.34,
328, 0, 0, 8.34,
339, 0, 0, 8.34,
350, 0, 0, 8.34,
361, 0, 0, 8.34,
372, 0, 0, 8.34,
385, 0, 0, 8.34,
396, 0, 0, 8.34,
407, 0, 0, 8.34,
418, 0, 0, 8.34,
429, 0, 0, 8.34,
440, 0, 0, 8.34,
451, 0, 0, 8.34,
462, 0, 0, 8.34,
473, 0, 0, 8.34,
484, 0, 0, 8.34,
496, 0, 0, 8.34,
507, 0, 0, 8.34,
518, 0, 2975, 8.34,
529, 0, 4394, 8.23,
540, 0, 4210, 8.22,
551, 0, 4186, 8.22,
562, 107, 3996, 8.23,
573, 107, 4001, 8.23,
584, 2591, 3869, 8.23,
595, 2591, 3799, 8.24,
606, 3467, 3559, 8.24,
618, 4125, 3536, 8.24,
629, 4664, 3208, 8.24,
640, 4664, 3269, 8.25,
651, 5551, 3198, 8.25,
662, 5926, 3106, 8.25,
673, 6273, 3013, 8.25,
684, 6593, 3021, 8.25,
695, 6909, 2980, 8.25,
706, 7433, 2849, 8.25,
717, 7680, 2759, 8.26,
729, 8103, 2649, 8.26,
740, 8356, 2659, 8.26,
751, 8761, 2365, 8.26,
763, 9129, 2371, 8.27,
774, 9351, 2338, 8.27,
785, 9640, 2219, 8.27,
797, 9960, 2240, 8.27,
808, 10252, 2219, 8.27,
819, 10548, 2171, 8.27,
831, 10799, 2109, 8.27,
842, 11045, 2064, 8.27,
854, 11278, 2010, 8.28,
865, 11627, 1985, 8.27,
876, 11792, 1956, 8.28,
887, 12077, 1918, 8.28,
899, 12244, 1849, 8.28,
910, 12531, 1848, 8.28,
921, 12701, 1778, 8.28,
932, 12886, 1758, 8.28,
943, 13134, 1736, 8.28,
954, 13286, 1689, 8.28,
966, 13525, 1679, 8.28,
977, 13736, 1638, 8.29,
988, 13876, 1619, 8.29,
1000, 14084, 1603, 8.29,
1011, 14285, 1545, 8.29,
1022, 14395, 1510, 8.29,
1033, 14563, 1511, 8.29,
1044, 14763, 1491, 8.29,
1055, 14851, 1446, 8.29,
1067, 15030, 1420, 8.29,
1079, 15197, 1410, 8.29,
1090, 15337, 1395, 8.29,
1101, 15495, 1376, 8.29,
1112, 15560, 1351, 8.29,
1123, 15756, 1325, 8.29,
1134, 15906, 1316, 8.29,
1145, 16025, 1299, 8.29,
1156, 16094, 1276, 8.29,
1167, 16233, 1264, 8.30,
1178, 16322, 1260, 8.30,
1190, 16501, 1239, 8.30,
1201, 16629, 1220, 8.30,
1212, 16722, 1201, 8.30,
1224, 16835, 1191, 8.30,
1236, 16968, 1171, 8.30,
1247, 17064, 1159, 8.30,
1258, 17162, 1141, 8.30,
1270, 17241, 1130, 8.30,
1281, 17301, 1124, 8.30,
1292, 17462, 1106, 8.30,
1303, 17543, 1108, 8.30,
1314, 17626, 1083, 8.30,
1325, 17709, 1078, 8.30,
1336, 17709, 1058, 8.30,
1347, 17878, 1048, 8.30,
1358, 17964, 1033, 8.30,
1369, 18028, 1035, 8.30,
1380, 18137, 1020, 8.30,
1391, 18203, 1011, 8.30,
1402, 18292, 1001, 8.30,
1413, 18359, 986, 8.30,
1424, 18404, 974, 8.30,
1435, 18495, 965, 8.30,
1446, 18587, 960, 8.30,
1457, 18610, 954, 8.30,
1469, 18703, 948, 8.30,
1480, 18773, 941, 8.30,
1491, 18750, 930, 8.30,
1503, 18891, 919, 8.30,
1514, 18963, 918, 8.31,
1525, 19011, 911, 8.31,
1537, 19059, 908, 8.31,
1548, 19132, 899, 8.31,
1559, 19157, 895, 8.31,
1570, 19206, 890, 8.31,
1581, 19280, 889, 8.30,
1592, 19379, 873, 8.31,
1604, 19379, 875, 8.31,
1615, 19455, 865, 8.31,
1626, 19455, 861, 8.31,
1637, 19556, 863, 8.31,
1648, 19582, 846, 8.31,
1659, 19633, 846, 8.31,
1671, 19633, 841, 8.31,
1682, 19710, 838, 8.31,
1693, 19762, 824, 8.31,
1704, 19815, 825, 8.31,
1715, 19788, 811, 8.31,
1726, 19841, 820, 8.31,
1738, 19893, 816, 8.31,
1750, 19973, 805, 8.31,
1761, 19973, 805, 8.31,
1772, 20026, 786, 8.31,
1783, 20026, 796, 8.31,
1794, 20080, 788, 8.31,
1806, 20107, 794, 8.31,
1817, 20161, 788, 8.31,
1828, 20161, 783, 8.31,
1840, 20215, 779, 8.31,
1851, 20242, 778, 8.31,
1862, 20270, 769, 8.31,
1873, 20297, 764, 8.31,
1884, 20352, 754, 8.31,
1895, 20380, 768, 8.31,
1907, 20380, 756, 8.31,
1918, 20435, 749, 8.31,
1929, 20297, 755, 8.31,
1941, 20463, 748, 8.31,
1952, 20463, 741, 8.31,
1963, 20463, 738, 8.31,
1975, 20491, 729, 8.31,
1986, 20519, 735, 8.31,
1997, 20519, 724, 8.31,
2009, 20604, 719, 8.31,
2020, 20632, 731, 8.31,
2031, 20661, 725, 8.31,
2042, 20718, 710, 8.31,
2053, 20604, 715, 8.31,
2064, 20661, 706, 8.31,
2076, 20746, 713, 8.31,
2087, 20746, 709, 8.31,
2098, 20718, 706, 8.31,
2110, 20746, 703, 8.31,
2121, 20746, 704, 8.31,
2132, 20746, 698, 8.31,
2144, 20746, 699, 8.31,
2155, 20775, 691, 8.31,
2166, 20804, 691, 8.31,
2178, 20833, 696, 8.31,
2189, 20833, 696, 8.31,
2200, 20833, 694, 8.31,
2211, 20804, 689, 8.31,
2222, 20891, 689, 8.31,
2233, 20920, 694, 8.31,
2245, 20891, 684, 8.31,
2256, 20920, 683, 8.31,
2267, 20949, 685, 8.31,
2278, 20979, 685, 8.31,
2289, 20979, 685, 8.31,
2300, 21008, 686, 8.31,
2312, 21067, 679, 8.31,
2323, 21008, 670, 8.31,
2334, 21037, 681, 8.31,
2345, 21008, 675, 8.31,
2356, 21037, 685, 8.31,
2367, 21037, 669, 8.31,
2379, 21067, 664, 8.31,
2390, 21126, 668, 8.31,
2401, 21067, 675, 8.31,
2413, 21097, 661, 8.31,
2424, 21097, 661, 8.31,
2435, 21097, 668, 8.31,
2447, 21126, 666, 8.31,
2458, 21126, 658, 8.31,
2469, 21156, 666, 8.31,
2481, 21126, 658, 8.31,
2492, 21156, 669, 8.31,
2503, 21156, 659, 8.31,
2514, 21156, 663, 8.31,
2525, 21186, 658, 8.31,
2536, 21246, 655, 8.31,
2548, 21216, 666, 8.31,
2560, 21186, 653, 8.31,
2571, 21156, 660, 8.31,
2582, 21216, 649, 8.31,
2593, 21276, 654, 8.31,
2604, 21246, 651, 8.31,
2616, 21216, 654, 8.31,
2627, 21216, 646, 8.31,
2638, 21216, 654, 8.31,
2650, 21246, 666, 8.31,
2661, 21246, 663, 8.31,
2672, 21276, 665, 8.31,
2683, 21276, 654, 8.31,
2694, 21276, 660, 8.31,
2705, 21216, 660, 8.31,
2716, 20833, 673, 8.31,
2727, 20270, 724, 8.31,
2738, 19762, 771, 8.31,
