Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, V
1006, 0, 0.00, 8.25,
1017, 0, 0.00, 8.25,
1028, 0, 0.00, 8.25,
1039, 0, 0.00, 8.25,
1050, 0, 0.00, 8.25,
1061, 0, 0.00, 8.25,
1072, 0, 0.00, 8.25,
1083, 0, 0.00, 8.25,
1095, 0, 0.00, 8.25,
1106, 0, 0.00, 8.25,
1117, 0, 0.00, 8.25,
1129, 0, 0.00, 8.25,
1140, 0, 0.00, 8.25,
1152, 0, 0.00, 8.25,
1163, 0, 0.00, 8.25,
1174, 0, 0.00, 8.25,
1186, 0, 0.00, 8.25,
1197, 0, 0.00, 8.25,
1208, 0, 0.00, 8.25,
1220, 0, 0.00, 8.25,
1231, 0, 0.00, 8.25,
1242, 0, 0.00, 8.25,
1254, 0, 0.00, 8.25,
1265, 0, 0.00, 8.25,
1276, 0, 0.00, 8.25,
1287, 0, 0.00, 8.25,
1298, 0, 0.00, 8.25,
1309, 0, 0.00, 8.25,
1320, 0, 0.00, 8.25,
1331, 0, 0.00, 8.25,
1342, 0, 0.00, 8.25,
1353, 0, 0.00, 8.25,
1364, 0, 0.00, 8.25,
1375, 0, 0.00, 8.25,
1387, 0, 0.00, 8.25,
1398, 0, 0.00, 8.25,
1409, 0, 0.00, 8.25,
1420, 0, 0.00, 8.25,
1431, 0, 0.00, 8.25,
1442, 0, 0.00, 8.25,
1454, 0, 0.00, 8.25,
1465, 0, 0.00, 8.25,
1476, 0, 0.00, 8.25,
1487, 0, 0.00, 8.25,
1498, 0, 0.00, 8.25,
1509, 0, 0.00, 8.25,
1520, 0, 0.00, 8.26,
1531, 0, 0.00, 8.25,
1542, 0, 0.00, 8.25,
1554, 0, 0.00, 8.25,
1565, 0, 0.00, 8.25,
1576, 0, 0.00, 8.25,
1588, 0, 0.00, 8.25,
1599, 0, 0.00, 8.25,
1610, 0, 0.00, 8.25,
1622, 0, 0.00, 8.25,
1633, 0, 0.00, 8.25,
1644, 0, 0.00, 8.25,
1655, 0, 1.25, 8.25,
1666, 0, 0.00, 8.26,
1677, 0, 0.00, 8.25,
1688, 0, 0.00, 8.25,
1699, 0, 0.00, 8.25,
1710, 0, 0.00, 8.25,
1721, 0, 0.00, 8.25,
1732, 0, 0.00, 8.25,
1743, 0, 0.00, 8.25,
1755, 0, 0.00, 8.25,
1766, 0, 0.00, 8.25,
1777, 0, 0.00, 8.25,
1788, 0, 0.00, 8.25,
1799, 0, 0.00, 8.25,
1810, 0, 0.00, 8.26,
1821, 0, 0.00, 8.25,
1832, 0, 0.00, 8.25,
1843, 0, 0.00, 8.25,
1854, 0, 0.00, 8.25,
1865, 0, 0.00, 8.25,
1876, 0, 0.00, 8.26,
1888, 0, 0.00, 8.25,
1899, 0, 0.00, 8.25,
1910, 0, 0.00, 8.25,
1922, 0, 0.00, 8.25,
1933, 0, 0.00, 8.25,
1944, 0, 0.00, 8.25,
1955, 0, 0.00, 8.25,
1966, 0, 0.00, 8.25,
1977, 0, 0.00, 8.25,
1988, 0, 0.00, 8.25,
1999, 0, 1.25, 8.25,
2010, 0, 0.00, 8.25,
2022, 0, 0.00, 8.25,
2033, 0, 0.00, 8.25,
2044, 0, 0.00, 8.25,
2055, 0, 0.00, 8.26,
2066, 0, 0.00, 8.25,
2077, 0, 0.00, 8.25,
2088, 0, 0.00, 8.26,
2099, 0, 0.00, 8.25,
2110, 0, 0.00, 8.25,
2122, 0, 0.00, 8.25,
2134, 0, 0.00, 8.25,
2145, 0, 3465.00, 8.12,
2156, 27, 3326.25, 8.12,
2167, 27, 3300.00, 8.12,
2178, 27, 3303.75, 8.12,
2189, 27, 3208.75, 8.12,
2200, 1492, 3142.50, 8.13,
2211, 1492, 3146.25, 8.13,
2222, 2662, 2916.25, 8.13,
2234, 2662, 2992.50, 8.14,
2246, 3377, 2917.50, 8.14,
2258, 3947, 2796.25, 8.13,
2270, 4415, 2680.00, 8.14,
2282, 4832, 2695.00, 8.14,
2294, 5204, 2585.00, 8.15,
2305, 5555, 2586.25, 8.15,
2316, 5850, 2527.50, 8.15,
2327, 6142, 2467.50, 8.15,
2338, 6672, 2377.50, 8.15,
2349, 6912, 2390.00, 8.16,
2360, 7142, 2331.25, 8.16,
2372, 7564, 2246.25, 8.16,
2383, 7763, 2185.00, 8.16,
2394, 8138, 2111.25, 8.16,
2405, 8319, 2098.75, 8.16,
2416, 8630, 2002.50, 8.17,
2427, 8965, 1962.50, 8.17,
2438, 9118, 1911.25, 8.17,
2449, 9416, 1838.75, 8.17,
2461, 9683, 1895.00, 8.17,
2473, 9940, 1915.00, 8.17,
2484, 10169, 1847.50, 8.17,
2495, 10423, 1827.50, 8.17,
2506, 10623, 1767.50, 8.18,
2518, 10869, 1751.25, 8.18,
2529, 11070, 1717.50, 8.18,
2540, 11269, 1672.50, 8.18,
2551, 11459, 1642.50, 8.18,
2562, 11618, 1620.00, 8.18,
2574, 11820, 1605.00, 8.18,
2585, 12000, 1585.00, 8.18,
2597, 12224, 1556.25, 8.18,
2609, 12386, 1531.25, 8.18,
2621, 12615, 1518.75, 8.19,
2632, 12722, 1490.00, 8.19,
2644, 12975, 1466.25, 8.19,
2656, 13111, 1438.75, 8.19,
2668, 13286, 1431.25, 8.19,
2679, 13501, 1416.25, 8.19,
2691, 13586, 1402.50, 8.19,
2703, 13774, 1366.25, 8.19,
2714, 13927, 1332.50, 8.19,
2726, 14137, 1333.75, 8.19,
2738, 14245, 1305.00, 8.19,
2750, 14423, 1298.75, 8.19,
2761, 14577, 1265.00, 8.19,
2774, 14705, 1248.75, 8.19,
2785, 14822, 1243.75, 8.19,
2797, 14985, 1206.25, 8.19,
2808, 15120, 1205.00, 8.19,
2819, 15212, 1187.50, 8.20,
2830, 15274, 1180.00, 8.20,
2841, 15463, 1165.00, 8.20, 0.08
2853, 15560, 1148.75, 8.20,
2864, 15690, 1153.75, 8.20,
2875, 15806, 1126.25, 8.20,
2886, 15974, 1111.25, 8.20,
2897, 16025, 1107.50, 8.20,
2908, 16146, 1086.25, 8.20,
2919, 16233, 1095.00, 8.20,
2930, 16322, 1063.75, 8.20,
2941, 16429, 1052.50, 8.20,
2952, 16519, 1052.50, 8.20,
2963, 16556, 1032.50, 8.20,
2974, 16703, 1028.75, 8.20,
2985, 16741, 1013.75, 8.20,
2996, 16891, 1000.00, 8.20,
3007, 16968, 1002.50, 8.20,
3018, 17026, 987.50, 8.20,
3030, 17142, 968.75, 8.21,
3042, 17241, 973.75, 8.21,
3054, 17281, 951.25, 8.21,
3065, 17401, 938.75, 8.21,
3076, 17401, 928.75, 8.21,
3087, 17462, 927.50, 8.21,
3098, 17626, 923.75, 8.21,
3109, 17688, 918.75, 8.21,
3120, 17730, 910.00, 8.21,
3131, 17835, 908.75, 8.21,
3143, 17921, 906.25, 8.21,
3155, 17985, 890.00, 8.21,
3167, 18050, 878.75, 8.21,
3179, 18050, 872.50, 8.21,
3191, 18181, 866.25, 8.21,
3202, 18248, 858.75, 8.21,
3213, 18292, 852.50, 8.21,
3224, 18359, 847.50, 8.21,
3235, 18427, 838.75, 8.21,
3246, 18472, 833.75, 8.21,
3257, 18518, 830.00, 8.21,
3268, 18610, 821.25, 8.21, 19685.04
3279, 18656, 811.25, 8.21,
3290, 18679, 805.00, 8.21,
3301, 18750, 806.25, 8.21,
3313, 18844, 797.50, 8.21,
3325, 18867, 795.00, 8.21,
3337, 18891, 790.00, 8.21,
3349, 19035, 782.50, 8.21,
3361, 19011, 787.50, 8.21,
3372, 19059, 788.75, 8.21,
3383, 19083, 785.00, 8.21,
3394, 19132, 770.00, 8.21,
3405, 19181, 762.50, 8.21,
3416, 19230, 756.25, 8.21,
3427, 19280, 745.00, 8.21,
3438, 19280, 737.50, 8.21,
3450, 19354, 741.25, 8.21,
3461, 19379, 737.50, 8.21,
3472, 19404, 735.00, 8.21,
3483, 19404, 730.00, 8.21,
3494, 19480, 728.75, 8.22,
3505, 19480, 720.00, 8.22,
3516, 19582, 722.50, 8.21,
3528, 19582, 716.25, 8.21,
3540, 19633, 711.25, 8.22,
3552, 19659, 707.50, 8.22,
3564, 19685, 707.50, 8.22,
3576, 19736, 700.00, 8.22,
3588, 19736, 686.25, 8.22,
3600, 19815, 687.50, 8.22,
3612, 19815, 677.50, 8.22,
3623, 19841, 676.25, 8.22,
3634, 19893, 676.25, 8.22,
3645, 19893, 676.25, 8.22, 0.62
3657, 19946, 678.75, 8.22,
3670, 19973, 672.50, 8.22,
3682, 20000, 671.25, 8.22,
3693, 20026, 667.50, 8.22,
3705, 20053, 663.75, 8.22,
3716, 20080, 673.75, 8.22,
3727, 20107, 668.75, 8.22,
3738, 20107, 677.50, 8.22,
3749, 20134, 660.00, 8.22,
3760, 20161, 671.25, 8.22,
3771, 20161, 660.00, 8.22,
3783, 20188, 658.75, 8.22,
3795, 20270, 658.75, 8.22,
3807, 20215, 655.00, 8.22,
3819, 20242, 655.00, 8.22,
3831, 20297, 658.75, 8.22,
3842, 20242, 648.75, 8.22,
3853, 20270, 650.00, 8.22,
3864, 20352, 643.75, 8.22,
3875, 20408, 638.75, 8.22,
3886, 20325, 646.25, 8.22,
3897, 20408, 641.25, 8.22,
3909, 20408, 645.00, 8.22,
