Found INA260 chip
time (ms), rpm, mA, V
5, 0, 0.00, 5.62,
16, 0, 0.00, 5.62,
27, 0, 0.00, 5.62,
38, 0, 0.00, 5.62,
49, 0, 0.00, 5.62,
60, 0, 0.00, 5.62,
71, 0, 0.00, 5.62,
82, 0, 0.00, 5.62,
93, 0, 0.00, 5.62,
104, 0, 0.00, 5.62,
115, 0, 0.00, 5.62,
126, 0, 0.00, 5.62,
137, 0, 0.00, 5.62,
148, 0, 0.00, 5.62,
159, 0, 0.00, 5.62,
171, 0, 1.25, 5.62,
182, 0, 0.00, 5.62,
193, 0, 0.00, 5.62,
204, 0, 0.00, 5.62,
216, 0, 0.00, 5.62,
227, 0, 0.00, 5.62,
238, 0, 0.00, 5.62,
249, 0, 0.00, 5.62,
260, 0, 0.00, 5.62,
271, 0, 0.00, 5.62,
283, 0, 0.00, 5.62,
294, 0, 0.00, 5.62,
305, 0, 0.00, 5.62,
317, 0, 0.00, 5.62,
328, 0, 0.00, 5.62,
339, 0, 0.00, 5.62,
350, 0, 0.00, 5.62,
361, 0, 0.00, 5.62,
372, 0, 0.00, 5.62,
384, 0, 0.00, 5.62,
395, 0, 0.00, 5.62,
406, 0, 0.00, 5.62,
417, 0, 0.00, 5.62,
429, 0, 0.00, 5.62,
440, 0, 3562.50, 5.12,
452, 0, 3111.25, 5.15,
463, 0, 3021.25, 5.14,
475, 127, 2887.50, 5.17,
487, 127, 2875.00, 5.15,
499, 127, 2702.50, 5.15,
510, 1810, 2616.25, 5.17,
521, 1810, 2493.75, 5.18,
532, 2670, 2437.50, 5.19,
543, 2670, 2352.50, 5.19,
555, 3264, 2440.00, 5.18,
567, 3730, 2363.75, 5.22,
579, 4124, 2212.50, 5.23,
591, 4468, 2176.25, 5.24,
602, 4774, 2070.00, 5.22,
613, 5047, 1941.25, 5.24,
624, 5309, 1968.75, 5.24,
635, 5537, 1977.50, 5.25,
647, 5760, 1851.25, 5.25,
659, 5959, 1772.50, 5.26,
671, 6160, 1733.75, 5.27,
684, 6487, 1706.25, 5.26,
696, 6666, 1663.75, 5.28,
